"BodyComfortSystem","100kwh","Clean_Protection","LED_Wiper","LED_CLS","FP","RCK","Electric","Low_Quality_Sensor","Normal","High_Quality_Wiper","LED_PW","Electrical","Security","Control_AS","Wiper","ElectroMotor","Sensor_Protection","LED_Frost_Protection","LED_Heatable","PW_Control","Control_Automatic_PW","BatterySystem","High_Quality_Sensor","HMI","LED_EM","Heatable","CLS","AS","Clean","ChargingBehaviour","Wiper_Quality","LED_Clean","DoorSystem","Manual_PW","Safety_Function","75kwh","Frost_Protection","StatusLED","LED_AS","PW","Automatic_Locking","Interior_Monitoring","Sensor","Fast","Low_Quality_Wiper","LED_FP","EM","Automatic_PW","Adjust_EM","MTTF"
"1","1","0","0","0","1","0","1","1","0","1","0","1","0","0","1","1","0","0","0","1","0","1","0","1","1","0","0","0","1","1","1","0","1","0","0","0","0","1","0","1","0","0","1","1","0","0","1","1","0","9.0"
"1","0","1","0","1","1","1","1","1","1","0","0","1","1","0","1","1","1","1","1","1","0","1","0","1","1","1","1","1","1","1","1","1","1","0","0","1","1","1","0","1","1","1","1","0","1","1","1","1","0","10.0"
"1","1","1","1","0","1","1","1","0","1","1","0","1","1","1","1","1","1","0","1","1","1","1","1","1","1","1","1","1","1","1","1","0","1","0","1","0","1","1","0","1","0","1","1","0","0","1","1","1","0","10.0"
"1","1","0","1","0","1","0","1","0","1","1","1","1","1","0","1","1","1","0","1","1","0","1","1","1","1","1","0","1","0","1","1","0","1","1","0","0","1","1","0","1","0","0","1","0","0","0","1","0","0","10.0"
"1","0","0","1","1","1","1","1","1","0","0","1","1","1","1","1","1","0","0","0","1","0","1","0","1","0","1","1","1","1","1","1","1","1","1","1","1","0","1","0","1","1","0","1","1","1","1","1","0","0","9.0"
"1","0","0","1","0","1","1","1","0","0","0","0","1","1","0","1","1","0","0","0","1","0","1","1","1","1","1","1","0","0","1","1","0","1","0","1","1","0","1","0","1","0","0","1","1","1","1","1","1","1","9.0"
"1","1","0","1","0","1","0","1","0","0","1","1","1","1","0","1","1","0","0","0","1","0","1","1","1","0","0","0","1","0","1","1","0","1","1","0","0","0","1","1","1","0","1","1","1","0","0","1","0","0","9.0"
"1","0","0","0","0","1","1","1","0","1","0","1","1","1","0","1","1","1","1","1","1","1","1","1","1","0","1","1","1","0","1","1","0","1","0","1","1","1","1","0","1","0","1","1","0","1","0","1","1","0","10.0"
"1","0","0","0","0","1","1","1","0","0","1","0","1","1","1","1","1","0","0","1","1","0","1","1","1","1","1","1","1","1","1","1","1","1","1","0","1","0","1","0","1","1","1","1","1","0","0","1","0","1","9.0"
"1","0","1","0","1","1","1","1","1","0","1","1","1","1","1","1","1","1","0","0","1","0","1","0","1","1","0","1","1","1","1","1","1","1","1","0","1","1","1","0","1","1","1","1","1","0","1","1","0","1","9.0"
"1","1","0","0","0","1","1","1","1","0","1","0","1","1","0","1","1","1","0","0","1","0","1","0","1","0","1","1","0","0","1","1","0","1","1","1","0","1","0","0","1","0","0","1","1","0","0","1","0","0","9.0"
"1","1","0","0","1","1","1","1","1","0","1","1","1","1","0","1","1","0","0","0","1","0","1","0","1","1","0","1","1","1","1","1","0","1","0","0","0","0","1","0","1","1","1","1","1","0","1","1","1","1","9.0"
"1","0","0","1","1","1","0","1","1","1","0","1","1","1","0","1","1","1","1","0","1","0","1","0","1","0","0","1","1","1","1","1","1","1","1","0","1","1","1","0","1","0","1","1","0","1","0","1","0","0","10.0"
"1","0","1","1","1","1","1","1","0","1","1","0","1","1","0","1","1","1","0","0","1","0","1","1","1","1","0","1","1","1","1","1","1","1","1","0","1","1","1","0","1","0","0","1","0","0","1","1","0","1","10.0"
"1","0","1","0","1","1","1","1","1","1","0","0","1","1","0","1","1","1","1","0","1","1","1","0","1","1","0","1","0","1","1","1","0","1","0","1","1","1","1","0","1","1","0","1","0","1","0","1","1","1","10.0"
"1","0","1","1","1","1","1","1","1","1","0","1","1","1","1","1","1","1","0","0","1","1","1","0","1","0","1","1","1","1","1","1","1","1","0","1","1","1","1","0","1","0","1","1","0","1","1","1","1","1","10.0"
"1","0","0","0","0","1","0","1","0","0","0","0","1","1","0","1","1","0","0","1","1","0","1","1","1","1","1","0","1","0","1","1","0","1","0","0","1","0","1","0","1","0","0","1","1","1","1","1","1","0","9.0"
"1","1","0","0","0","1","1","1","0","1","0","1","1","1","0","1","1","0","0","1","1","1","1","1","1","1","1","1","1","0","1","1","0","1","0","1","0","0","1","1","1","1","1","1","0","1","0","1","1","0","10.0"
"1","0","0","1","0","1","1","1","0","0","1","0","1","1","0","1","1","0","0","1","1","1","1","1","1","0","1","1","1","1","1","1","0","1","0","0","1","0","1","1","1","1","0","1","1","0","0","1","1","0","9.0"
"1","1","0","1","0","1","1","1","0","1","1","1","1","1","0","1","1","1","1","0","1","1","1","1","1","0","1","1","1","0","1","1","0","1","0","0","0","1","1","0","1","1","1","1","0","0","0","1","1","0","10.0"
"1","1","0","1","0","1","1","1","1","0","0","1","1","1","1","1","1","1","1","0","1","0","1","0","1","0","1","1","1","1","1","1","1","1","1","1","0","1","1","0","1","0","0","1","1","1","0","1","0","1","9.0"
"1","1","1","0","0","1","1","1","1","1","0","0","1","1","0","1","1","1","0","0","1","1","1","0","1","0","1","1","0","1","1","1","0","1","0","1","0","1","0","0","1","1","0","1","0","1","0","1","1","0","10.0"
"1","1","1","1","0","1","0","1","1","1","1","1","1","1","0","1","1","1","0","1","1","0","1","0","1","1","1","1","0","1","1","1","1","1","0","0","0","1","1","0","1","1","0","1","0","0","1","1","1","0","10.0"
"1","0","1","0","0","1","0","1","0","0","0","0","1","1","0","1","1","1","1","0","1","0","1","1","1","1","0","0","1","1","1","1","0","1","0","0","1","1","1","0","1","0","1","1","1","1","0","1","1","0","9.0"
"1","0","0","0","0","1","0","1","0","1","0","0","1","1","0","1","1","1","1","0","1","0","1","1","1","1","0","0","1","1","1","1","1","1","0","0","1","1","1","1","1","0","0","1","0","1","0","1","1","0","10.0"
"1","0","0","0","1","1","0","1","1","1","0","1","1","1","0","1","1","1","1","0","1","0","1","0","1","0","1","1","0","0","1","1","0","1","0","0","1","1","1","0","1","0","0","1","0","1","1","1","1","0","10.0"
"1","1","0","1","0","1","0","1","0","0","1","1","1","1","0","1","1","0","0","0","1","0","1","1","1","1","0","0","0","1","1","1","1","1","0","0","0","0","1","0","1","0","0","1","1","0","0","1","1","0","9.0"
"1","0","0","1","1","1","0","1","0","1","1","1","1","1","0","1","1","1","1","0","1","0","1","1","1","0","1","1","1","0","1","1","0","1","0","0","1","1","1","1","1","1","0","1","0","0","1","1","1","0","10.0"
"1","0","1","0","0","1","1","1","1","1","0","0","1","1","0","1","1","1","0","0","1","0","1","0","1","0","1","1","0","1","1","1","0","1","1","1","1","1","0","0","1","1","0","1","0","1","0","1","0","0","10.0"
"1","0","0","1","1","1","1","1","0","1","1","1","1","1","1","1","1","0","0","0","1","1","1","1","1","0","1","1","1","0","1","1","0","1","0","0","1","0","1","1","1","0","0","1","0","0","1","1","1","1","10.0"
"1","0","1","0","1","1","1","1","1","0","1","0","1","1","1","1","1","1","1","0","1","0","1","0","1","0","0","1","1","1","1","1","1","1","0","0","1","1","1","0","1","0","1","1","1","0","1","1","1","0","9.0"
"1","0","0","1","1","1","1","1","0","0","1","1","1","1","0","1","1","1","0","0","1","0","1","1","1","1","1","1","0","0","1","1","0","1","1","0","1","1","1","0","1","1","0","1","1","0","0","1","0","1","9.0"
"1","1","1","0","0","1","1","1","1","0","1","1","1","1","0","1","1","1","1","0","1","0","1","0","1","0","1","1","1","1","1","1","0","1","0","0","0","1","1","0","1","0","0","1","1","0","1","1","1","1","9.0"
"1","0","0","0","0","1","1","1","0","0","1","1","1","1","0","1","1","1","1","0","1","1","1","1","1","0","0","1","1","1","1","1","1","1","0","1","1","1","1","0","1","0","0","1","1","0","0","1","1","0","9.0"
"1","0","1","1","1","1","1","1","1","0","0","1","1","1","1","1","1","1","0","1","1","1","1","0","1","0","1","1","1","1","1","1","0","1","0","1","1","1","1","0","1","1","1","1","1","1","0","1","1","0","9.0"
"1","1","0","0","0","1","0","1","0","0","1","1","1","1","0","1","1","0","0","0","1","0","1","1","1","0","1","0","1","1","1","1","1","1","0","0","0","0","1","1","1","0","0","1","1","0","0","1","1","0","9.0"
"1","1","1","1","1","1","1","1","0","0","0","0","1","1","0","1","1","1","0","0","1","1","1","1","1","0","0","1","1","1","1","1","0","1","0","1","0","1","1","0","1","1","1","1","1","1","0","1","1","1","9.0"
"1","1","0","1","1","1","1","1","0","0","1","1","1","1","0","1","1","0","0","0","1","1","1","1","1","1","0","1","0","1","1","1","0","1","0","0","0","0","1","0","1","0","0","1","1","0","0","1","1","1","9.0"
"1","0","0","1","1","1","1","1","0","1","0","1","1","1","0","1","1","0","0","1","1","1","1","1","1","1","1","1","0","1","1","1","0","1","0","0","1","0","1","0","1","1","0","1","0","1","0","1","1","1","10.0"
"1","0","0","0","0","1","1","1","1","0","0","0","1","1","1","1","1","1","0","1","1","0","1","0","1","1","1","1","1","1","1","1","1","1","0","0","1","1","1","0","1","0","0","1","1","1","1","1","1","1","9.0"
"1","1","0","0","0","1","0","1","0","0","1","0","1","1","0","1","1","0","0","0","1","0","1","1","1","0","0","1","1","1","1","1","0","1","0","0","0","0","1","1","1","1","0","1","1","0","1","1","1","0","9.0"
"1","0","0","0","1","1","1","1","1","0","1","0","1","1","0","1","1","1","0","1","1","0","1","0","1","1","1","1","0","0","1","1","0","1","1","1","1","1","1","0","1","1","0","1","1","0","1","1","0","1","9.0"
"1","1","0","0","0","1","0","1","1","1","1","1","1","1","0","1","1","1","1","0","1","0","1","0","1","1","0","1","1","1","1","1","1","1","1","0","0","1","1","1","1","1","0","1","0","0","0","1","0","0","10.0"
"1","1","1","1","1","1","0","1","0","0","1","0","1","1","0","1","1","1","0","0","1","0","1","1","1","1","0","1","1","1","1","1","0","1","0","0","0","1","1","0","1","0","1","1","1","0","1","1","1","0","9.0"
"1","0","0","0","0","1","0","1","0","0","0","0","1","1","0","1","1","1","1","0","1","0","1","1","1","1","0","0","0","1","1","1","1","1","0","0","1","1","1","0","1","0","0","1","1","1","1","1","1","0","9.0"
"1","0","1","1","1","1","1","1","0","0","1","1","1","1","0","1","1","1","1","0","1","1","1","1","1","1","0","1","1","1","1","1","0","1","0","1","1","1","1","0","1","0","1","1","1","0","0","1","1","0","9.0"
"1","1","1","0","1","1","1","1","1","0","0","1","1","1","0","1","1","1","1","0","1","0","1","0","1","0","0","1","1","1","1","1","1","1","0","1","0","1","1","0","1","1","0","1","1","1","0","1","1","1","9.0"
"1","1","0","0","0","1","0","1","0","0","0","0","1","1","0","1","1","0","0","0","1","0","1","1","1","1","0","1","1","0","1","1","0","1","1","0","0","0","1","1","1","0","1","1","1","1","1","1","0","0","9.0"
"1","1","0","1","0","1","1","1","0","1","1","0","1","1","1","1","1","1","1","0","1","0","1","1","1","1","0","1","1","1","1","1","1","1","1","0","0","1","1","0","1","1","1","1","0","0","1","1","0","0","10.0"
"1","0","1","1","0","1","0","1","0","1","1","1","1","1","0","1","1","1","1","1","1","0","1","1","1","0","1","1","1","1","1","1","0","1","1","0","1","1","1","1","1","0","0","1","0","0","0","1","0","0","10.0"
"1","0","1","0","0","1","1","1","1","1","0","1","1","1","1","1","1","1","1","1","1","0","1","0","1","0","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","0","0","1","0","1","1","1","0","0","10.0"
"1","0","0","1","1","1","1","1","0","1","1","0","1","1","0","1","1","1","1","0","1","0","1","1","1","1","0","1","1","0","1","1","0","1","1","1","1","1","1","1","1","1","1","1","0","0","0","1","0","0","10.0"
"1","1","1","0","1","1","1","1","1","0","1","0","1","1","0","1","1","1","0","0","1","0","1","0","1","1","0","1","1","1","1","1","0","1","1","1","0","1","1","0","1","1","0","1","1","0","0","1","0","0","9.0"
"1","1","1","1","1","1","1","1","0","0","1","0","1","1","1","1","1","1","1","0","1","0","1","1","1","1","1","1","1","1","1","1","0","1","0","1","0","1","1","0","1","0","1","1","1","0","0","1","1","0","9.0"
"1","1","1","0","1","1","1","1","1","1","1","0","1","1","0","1","1","1","1","0","1","1","1","0","1","0","1","1","0","1","1","1","0","1","0","1","0","1","1","0","1","1","0","1","0","0","1","1","1","0","10.0"
"1","1","0","1","1","1","1","1","1","1","0","0","1","1","0","1","1","0","0","1","1","0","1","0","1","1","1","1","1","1","1","1","1","1","1","0","0","0","1","1","1","1","1","1","0","1","0","1","0","0","10.0"
"1","0","0","0","0","1","0","1","1","1","0","0","1","0","0","1","1","1","1","1","1","0","1","0","1","0","1","0","0","0","1","1","0","1","1","0","1","1","1","0","1","0","0","1","0","1","0","1","0","0","10.0"
"1","0","1","1","1","1","0","1","0","0","1","0","1","1","0","1","1","1","1","1","1","0","1","1","1","1","1","1","1","1","1","1","0","1","0","0","1","1","1","1","1","1","0","1","1","0","0","1","1","0","9.0"
"1","0","1","0","0","1","0","1","1","0","0","0","1","1","0","1","1","1","0","0","1","0","1","0","1","0","0","0","1","1","1","1","0","1","1","0","1","1","1","1","1","0","0","1","1","1","1","1","0","0","9.0"
"1","1","1","1","1","1","1","1","0","0","0","1","1","1","0","1","1","1","1","0","1","0","1","1","1","1","0","1","1","1","1","1","0","1","1","0","0","1","1","1","1","0","0","1","1","1","1","1","0","1","9.0"
"1","1","0","0","0","1","1","1","0","1","1","0","1","1","1","1","1","1","0","0","1","0","1","1","1","0","0","1","1","0","1","1","0","1","0","0","0","1","0","0","1","0","0","1","0","0","0","1","1","1","10.0"
"1","0","1","0","0","1","1","1","0","1","0","0","1","1","0","1","1","1","0","1","1","0","1","1","1","1","1","1","0","1","1","1","0","1","0","0","1","1","1","0","1","0","0","1","0","1","0","1","1","1","10.0"
"1","1","0","0","1","1","1","1","0","0","1","0","1","1","0","1","1","0","0","0","1","0","1","1","1","1","0","1","1","1","1","1","1","1","1","1","0","0","1","0","1","0","0","1","1","0","1","1","0","1","9.0"
"1","0","0","1","1","1","1","1","1","0","1","0","1","1","0","1","1","0","0","0","1","1","1","0","1","1","0","1","0","1","1","1","0","1","0","1","1","0","1","0","1","0","0","1","1","0","1","1","1","0","9.0"
"1","1","0","0","1","1","1","1","1","0","0","1","1","1","0","1","1","1","1","1","1","0","1","0","1","1","1","1","0","0","1","1","0","1","1","1","0","1","1","0","1","0","0","1","1","1","0","1","0","0","9.0"
"1","1","0","1","0","1","0","1","0","1","0","0","1","1","0","1","1","0","0","0","1","0","1","1","1","0","1","0","1","1","1","1","1","1","1","0","0","0","1","1","1","0","1","1","0","1","0","1","0","0","10.0"
"1","0","0","1","0","1","1","1","1","1","0","1","1","1","0","1","1","0","0","0","1","1","1","0","1","0","0","1","1","0","1","1","0","1","0","0","1","0","1","1","1","0","1","1","0","1","1","1","1","0","10.0"
"1","0","1","0","0","1","1","1","1","0","0","0","1","1","1","1","1","1","1","0","1","1","1","0","1","1","0","1","1","1","1","1","1","1","0","0","1","1","1","1","1","0","0","1","1","1","1","1","1","1","9.0"
"1","0","1","1","0","1","1","1","1","0","0","1","1","1","1","1","1","1","0","0","1","0","1","0","1","0","0","1","1","1","1","1","1","1","0","0","1","1","1","1","1","1","1","1","1","1","1","1","1","1","9.0"
"1","1","0","1","0","1","0","1","0","1","1","0","1","1","0","1","1","1","0","1","1","0","1","1","1","1","1","0","1","1","1","1","1","1","1","0","0","1","1","1","1","0","0","1","0","0","1","1","0","0","10.0"
"1","1","0","1","1","1","1","1","0","1","1","0","1","1","0","1","1","1","1","1","1","0","1","1","1","1","1","1","1","1","1","1","0","1","1","0","0","1","1","1","1","1","0","1","0","0","1","1","0","1","10.0"
"1","0","1","0","0","1","1","1","0","0","0","0","1","1","0","1","1","1","0","0","1","1","1","1","1","0","0","1","1","1","1","1","0","1","0","0","1","1","0","0","1","0","1","1","1","1","0","1","1","1","9.0"
"1","1","1","1","0","1","1","1","1","0","1","0","1","1","1","1","1","1","1","0","1","1","1","0","1","1","0","1","1","1","1","1","1","1","0","0","0","1","1","0","1","0","1","1","1","0","1","1","1","1","9.0"
"1","1","0","0","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","0","1","0","1","0","1","1","0","1","1","0","1","1","0","1","1","1","0","1","1","1","1","1","1","1","0","0","1","1","0","1","10.0"
"1","1","1","0","0","1","1","1","0","0","0","1","1","1","1","1","1","1","0","0","1","1","1","1","1","1","0","1","1","1","1","1","1","1","0","1","0","1","1","0","1","0","0","1","1","1","0","1","1","1","9.0"
"1","0","0","0","1","1","1","1","0","1","1","1","1","1","0","1","1","1","0","0","1","0","1","1","1","0","1","1","0","1","1","1","0","1","0","1","1","1","1","0","1","0","0","1","0","0","0","1","1","0","10.0"
"1","1","0","1","1","1","1","1","1","0","1","0","1","1","0","1","1","1","1","0","1","1","1","0","1","1","1","1","1","1","1","1","1","1","0","1","0","1","1","0","1","1","1","1","1","0","1","1","1","1","9.0"
"1","1","1","1","0","1","0","1","0","0","0","1","1","1","0","1","1","1","1","1","1","0","1","1","1","0","1","0","1","1","1","1","0","1","0","0","0","1","1","1","1","0","1","1","1","1","1","1","1","0","9.0"
"1","1","0","1","0","1","0","1","1","0","0","1","1","1","0","1","1","0","0","1","1","0","1","0","1","1","1","0","1","1","1","1","1","1","1","0","0","0","1","1","1","0","1","1","1","1","0","1","0","0","9.0"
"1","0","0","0","0","1","1","1","0","0","1","0","1","1","1","1","1","1","0","0","1","0","1","1","1","0","0","1","1","0","1","1","0","1","1","0","1","1","0","0","1","0","1","1","1","0","0","1","0","1","9.0"
"1","1","0","1","0","1","1","1","0","1","0","1","1","1","1","1","1","0","0","0","1","0","1","1","1","1","0","1","1","0","1","1","0","1","0","0","0","0","1","1","1","0","1","1","0","1","0","1","1","1","10.0"
"1","1","0","1","1","1","1","1","1","0","1","1","1","1","1","1","1","1","0","1","1","1","1","0","1","1","1","1","1","0","1","1","0","1","0","0","0","1","1","0","1","0","1","1","1","0","1","1","1","0","9.0"
"1","1","0","0","0","1","1","1","1","1","1","1","1","1","0","1","1","0","0","0","1","0","1","0","1","1","0","1","0","1","1","1","0","1","1","0","0","0","1","0","1","0","0","1","0","0","0","1","0","1","10.0"
"1","0","1","0","0","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","0","1","1","1","1","1","1","1","1","0","1","0","1","1","1","1","0","1","0","0","1","0","0","0","1","1","0","10.0"
"1","1","0","0","0","1","0","1","1","1","0","0","1","1","0","1","1","0","0","0","1","0","1","0","1","1","1","0","1","1","1","1","1","1","1","0","0","0","1","1","1","0","1","1","0","1","1","1","0","0","10.0"
"1","1","0","0","0","1","1","1","1","0","0","0","1","1","0","1","1","0","0","0","1","0","1","0","1","0","0","1","1","0","1","1","0","1","1","1","0","0","0","0","1","1","0","1","1","1","0","1","0","1","9.0"
"1","1","0","0","0","1","0","1","1","0","0","1","1","0","0","1","1","1","0","1","1","0","1","0","1","0","1","0","0","1","1","1","1","1","1","0","0","1","1","0","1","0","0","1","1","1","1","1","0","0","9.0"
"1","0","1","0","0","1","1","1","0","1","1","1","1","1","0","1","1","1","1","0","1","1","1","1","1","0","1","1","1","1","1","1","1","1","0","1","1","1","1","1","1","0","1","1","0","0","1","1","1","1","10.0"
